kanji,ucs,jis208,jis212,jis213,radicals,grade,stroke_count,freq,jlpt,readings,meanings,nanori
氤,6c24,1-61-69,,,84,,10,,,yin1;in;인;Nhân;イン,spirited,
氣,6c23,1-61-70,,,84,10.0,10,,,qi4;gi;기;Khí;キ;ケ;いき,spirit;mind;air;atmosphere;mood,
汞,6c5e,1-61-71,,,85;48,,7,,,gong3;hong4;heung;흥;Hống;Cống;コウ;みずがね,mercury,
汕,6c55,1-61-72,,,85,,6,,,shan4;san;산;Sán;サン,fish swimming;fishing with a net,
汢,6c62,1-61-73,,,85,,6,,,Thổ;ねた,wetland;marsh;(kokuji),
汪,6c6a,1-61-74,,,85,,7,2391.0,,wang1;wang;왕;Uông;オウ,flowing full;expanse of water;wide;deep,ひろ
沂,6c82,1-61-75,,,85,,7,,,yi2;gi;기;Nghi;Ngân;ギ;キ;ギン,name of a Chinese river,
沍,6c8d,1-61-76,,,85,,7,,,hu4;ho;호;Hỗ;Hộ;ゴ;コ;さ.える;こお.る;ひ.える,close up;freeze over;congeal,
沚,6c9a,1-61-77,,,85,,7,,,zhi3;ji;지;Chỉ;シ;なぎさ,shore;shoal,
沁,6c81,1-61-78,,,85,,7,,,qin4;shen4;sim;심;Thấm;Sấm;シン;し.みる,penetrate;soak in,
沛,6c9b,1-61-79,,,85,,8,,,pei4;pae;패;Phái;Bái;ハイ,big rain;swamp,
汾,6c7e,1-61-80,,,85,,7,,,fen2;bun;분;Phần;フン,name of a Chinese river,
汨,6c68,1-61-81,,,85,,7,,,mi4;myeog;gol;멱;골;Mịch;Cốt;コツ;イツ;ベキ;しず.む,to sink;name of a Chinese river,
汳,6c73,1-61-82,,,85,,7,,,bian4;pan;byeon;판;변;Phản;ヘン;ベン,proper name,
沒,6c92,1-61-83,,,85,,7,,,mei2;mo4;mol;몰;Một;ボツ;モツ;おぼ.れる;しず.む;ない,not;have not;none;to drown;sink,
沐,6c90,1-61-84,,,85,,7,,,mu4;mog;목;Mộc;モク;もく.する;あら.う,wash,
泄,6cc4,1-61-85,,,85,,8,,,xie4;seol;ye;설;예;Tiết;Duệ;セツ;エイ;も.れる,leak,
泱,6cf1,1-61-86,,,85,,8,,,yang1;ang;앙;Ương;Áng;オウ,billowy clouds;deep and broad,
泓,6cd3,1-61-87,,,85,,8,,,hong2;hong;goeng;홍;굉;Hoằng;オウ;ふか.い,deep clear water,
沽,6cbd,1-61-88,,,85,,8,,,gu1;go;고;Cô;Cổ;コ;あた.い;あら.い;う.る,price;buying & selling,
泗,6cd7,1-61-89,,,85,,8,,,si4;sa;사;Tứ;シ;なみだ,name of a Chinese river;snivel,
泅,6cc5,1-61-90,,,85,,8,,,qiu2;su;swi;수;쉬;Tù;シュウ;およぐ,swim,
泝,6cdd,1-61-91,,,85,,8,,,su4;so;소;Tố;ソ;さかのぼる,go upstream,
沮,6cae,1-61-92,,,85,,8,,,ju1;ju3;ju4;jeo;저;Tự;Trở;Thư;ソ;ショ;はば.む,stop;prevent;defeated;dejected,
沱,6cb1,1-61-93,,,85,,8,,,tuo2;ta;타;Đà;タ;ダ,flowing of tears,
沾,6cbe,1-61-94,,,85,,8,,,zhan1;cheom;jeom;첨;점;Triêm;Điếp;セン;チョウ;テン;うるお.う;うるお.す,moisten;wet;soak;touch,
沺,6cba,1-62-01,,,85,,8,,,tian2;jeom;점;Điền;デン,vast surging waters,
泛,6cdb,1-62-02,,,85,,7,,,fan4;fan2;beom;bong;범;봉;Phiếm;ハン;ホウ;うか.ぶ,to drift;float;careless;reckless,
泯,6cef,1-62-03,,,85,,8,,,min3;min;민;Mẫn;Dân;Miến;ビン;ベン;ミン;メン;ほろ.びる,die out;dim,
泙,6cd9,1-62-04,,,85,,8,,,ping2;pyeong;평;Khám;Nhai;Phanh;Bầng;Bềnh;Bình;Bừng;Phềnh;Phình;ホウ,surging water,
泪,6cea,1-62-05,,,85,,8,,,lei4;ru;루;Lệ;Lụy;ルイ;レイ;なみだ,tears;weep;cry,
洟,6d1f,1-62-06,,,85,,9,,,yi2;i;이;Di;Thế;イ;テイ;はなしる;はなじる,tear;nasal discharge,
衍,884d,1-62-07,,,144;60,,9,,,yan3;yeon;연;Diễn;Diên;エン;あまり;しく;はびこ.る,overflowing,
洶,6d36,1-62-08,,,85,,9,,,xiong1;hyung;흉;Hung;キョウ;わ.く,gush forth;surge,
洫,6d2b,1-62-09,,,85,,9,,,xu4;hyeog;혁;Hức;キョク;みぞ,ditch,
洽,6d3d,1-62-10,,,85,,9,,,qia4;xia2;heub;흡;Hiệp;Hợp;コウ;あまねし;うるお.す,far and wide,
洸,6d38,1-62-11,,,85,9.0,9,2430.0,1.0,guang1;huang3;gwang;광;Hoảng;Quang;Thoáng;コウ,sparkling water,ひろ;ひろし;たけし;ひかり
洙,6d19,1-62-12,,,85,,9,,,zhu1;su;수;Thù;Chu;シュ,name of a Chinese river,
